"courseString","courseID","hole","black","blue","white","holePar","holeHandicap"
"Deacons Lodge","3","1","444","415","399","4","3"
"Deacons Lodge","3","2","540","520","462","5","5"
"Deacons Lodge","3","3","188","164","144","3","13"
"Deacons Lodge","3","4","419","399","354","4","9"
"Deacons Lodge","3","5","433","415","400","4","7"
"Deacons Lodge","3","6","115","108","91","3","17"
"Deacons Lodge","3","7","432","412","385","4","1"
"Deacons Lodge","3","8","408","374","326","4","15"
"Deacons Lodge","3","9","543","533","480","5","11"
"Deacons Lodge","3","10","373","357","329","4","14"
"Deacons Lodge","3","11","196","183","176","3","12"
"Deacons Lodge","3","12","340","320","295","4","18"
"Deacons Lodge","3","13","450","422","380","4","4"
"Deacons Lodge","3","14","534","512","475","5","8"
"Deacons Lodge","3","15","452","427","413","4","2"
"Deacons Lodge","3","16","375","362","343","4","16"
"Deacons Lodge","3","17","200","174","144","3","6"
"Deacons Lodge","3","18","535","525","495","5","10"
"Traditional","2","1","null","null","307","4","9"
"Traditional","2","2","null","null","145","3","15"
"Traditional","2","3","null","null","241","4","17"
"Traditional","2","4","null","null","275","4","13"
"Traditional","2","5","null","null","367","4","1"
"Traditional","2","6","null","null","156","3","11"
"Traditional","2","7","null","null","354","4","3"
"Traditional","2","8","null","null","318","4","7"
"Traditional","2","9","null","null","370","4","5"
"Traditional","2","10","null","null","346","4","12"
"Traditional","2","11","null","null","182","3","18"
"Traditional","2","12","null","null","305","4","10"
"Traditional","2","13","null","null","171","3","16"
"Traditional","2","14","null","null","292","4","14"
"Traditional","2","15","null","null","330","4","4"
"Traditional","2","16","null","null","318","4","2"
"Traditional","2","17","null","null","350","4","8"
"Traditional","2","18","null","null","365","4","6"
"Whitebirtch","1","1","341","322","309","4","13"
"Whitebirtch","1","2","300","269","244","4","17"
"Whitebirtch","1","3","442","423","400","4","3"
"Whitebirtch","1","4","520","510","490","5","7"
"Whitebirtch","1","5","176","168","147","3","15"
"Whitebirtch","1","6","380","349","329","4","5"
"Whitebirtch","1","7","536","483","457","5","1"
"Whitebirtch","1","8","314","308","293","4","11"
"Whitebirtch","1","9","217","207","193","3","9"
"Whitebirtch","1","10","406","388","370","4","4"
"Whitebirtch","1","11","479","433","400","4","2"
"Whitebirtch","1","12","190","185","144","3","18"
"Whitebirtch","1","13","373","363","353","4","14"
"Whitebirtch","1","14","374","353","326","4","10"
"Whitebirtch","1","15","502","461","429","5","6"
"Whitebirtch","1","16","362","354","324","4","12"
"Whitebirtch","1","17","205","193","144","3","16"
"Whitebirtch","1","18","563","523","464","5","8"
